	CG	CHG	CHH	bincount	bincount	bincount
e2_2	0.04820506740356015	0.04820506740356015	0.04820506740356015	5415.0	5415.0	5415.0
e2_3	0.05110389812687875	0.05110389812687875	0.05110389812687875	5518.0	5518.0	5518.0
e2_4	0.0529733523961477	0.0529733523961477	0.0529733523961477	5519.0	5519.0	5519.0
e2_5	0.05473585840272681	0.05473585840272681	0.05473585840272681	5572.0	5572.0	5572.0
e2_6	0.054879583985315075	0.054879583985315075	0.054879583985315075	5582.0	5582.0	5582.0
e2_7	0.05564032359948533	0.05564032359948533	0.05564032359948533	5456.0	5456.0	5456.0
e2_8	0.05373791389327386	0.05373791389327386	0.05373791389327386	5389.0	5389.0	5389.0
e2_9	0.053178948352596365	0.053178948352596365	0.053178948352596365	5521.0	5521.0	5521.0
e2_10	0.05584171486790587	0.05584171486790587	0.05584171486790587	5421.0	5421.0	5421.0
e2_11	0.05508202057128417	0.05508202057128417	0.05508202057128417	5411.0	5411.0	5411.0
e2_12	0.05589156532792947	0.05589156532792947	0.05589156532792947	5413.0	5413.0	5413.0
e2_13	0.054721549377357855	0.054721549377357855	0.054721549377357855	5487.0	5487.0	5487.0
e2_14	0.056082647381999334	0.056082647381999334	0.056082647381999334	5472.0	5472.0	5472.0
e2_15	0.05303608637401002	0.05303608637401002	0.05303608637401002	5326.0	5326.0	5326.0
e2_16	0.05655281160204491	0.05655281160204491	0.05655281160204491	5304.0	5304.0	5304.0
e2_17	0.054659926553610697	0.054659926553610697	0.054659926553610697	5225.0	5225.0	5225.0
e2_18	0.055719119414517126	0.055719119414517126	0.055719119414517126	5213.0	5213.0	5213.0
e2_19	0.05209244166337198	0.05209244166337198	0.05209244166337198	5062.0	5062.0	5062.0
e2_20	0.048552546730471345	0.048552546730471345	0.048552546730471345	5831.0	5831.0	5831.0
i2_1	0.043761644317460276	0.043761644317460276	0.043761644317460276	4234.0	4234.0	4234.0
i2_2	0.034213576759356115	0.034213576759356115	0.034213576759356115	3552.0	3552.0	3552.0
i2_3	0.03519168224413866	0.03519168224413866	0.03519168224413866	3449.0	3449.0	3449.0
i2_4	0.03479258235177145	0.03479258235177145	0.03479258235177145	3386.0	3386.0	3386.0
i2_5	0.034150645459287386	0.034150645459287386	0.034150645459287386	3352.0	3352.0	3352.0
i2_6	0.032529281381339974	0.032529281381339974	0.032529281381339974	3238.0	3238.0	3238.0
i2_7	0.03346147937757031	0.03346147937757031	0.03346147937757031	3180.0	3180.0	3180.0
i2_8	0.033926385360640424	0.033926385360640424	0.033926385360640424	3187.0	3187.0	3187.0
